source,sample_id,timestamp,flight_phase,P_chamber,T_chamber,m_ox,m_fuel,F_thrust,N_pump,P_tank_lox,P_tank_fuel,vib_x,vib_y,vib_z,acc_axial,v_batt,i_bus,T_skin,rate_roll,rate_pitch,rate_yaw
synthetic_telemetry,SYN_000000,0.0,PRE_LAUNCH,0.1,300.0,0.0,0.0,0.0,0.0,4.2,3.5,0.1,0.1,0.1,0.0,28.0,18.0,300.0,0.0,0.0,0.0
synthetic_telemetry,SYN_000001,0.1,PRE_LAUNCH,0.16,328.0,2.4000000000000004,0.96,7.5,350.0,4.1996,3.4996,0.10800000000000001,0.10800000000000001,0.11000000000000001,0.012,27.998,18.04,300.2,0.0,0.0,0.0
synthetic_telemetry,SYN_000002,0.2,PRE_LAUNCH,0.22,356.0,4.800000000000001,1.92,15.0,700.0,4.1992,3.4992,0.116,0.116,0.12000000000000001,0.024,27.996,18.08,300.4,0.0,0.0,0.0
synthetic_telemetry,SYN_000003,0.30000000000000004,PRE_LAUNCH,0.28,384.0,7.200000000000001,2.8800000000000003,22.500000000000004,1050.0000000000002,4.1988,3.4988,0.12400000000000001,0.12400000000000001,0.13,0.036000000000000004,27.994,18.12,300.6,0.0,0.0,0.0
synthetic_telemetry,SYN_000004,0.4,PRE_LAUNCH,0.33999999999999997,412.0,9.600000000000001,3.84,30.0,1400.0,4.1984,3.4984,0.132,0.132,0.14,0.048,27.992,18.16,300.8,0.0,0.0,0.0
synthetic_telemetry,SYN_000005,0.5,PRE_LAUNCH,0.4,440.0,12.0,4.8,37.5,1750.0,4.198,3.498,0.14,0.14,0.15000000000000002,0.06,27.99,18.2,301.0,0.0,0.0,0.0
synthetic_telemetry,SYN_000006,0.6000000000000001,PRE_LAUNCH,0.4600000000000001,468.0,14.400000000000002,5.760000000000001,45.00000000000001,2100.0000000000005,4.1976,3.4976,0.14800000000000002,0.14800000000000002,0.16000000000000003,0.07200000000000001,27.988,18.24,301.2,0.0,0.0,0.0
synthetic_telemetry,SYN_000007,0.7000000000000001,PRE_LAUNCH,0.52,496.0,16.8,6.720000000000001,52.50000000000001,2450.0000000000005,4.1972000000000005,3.4972,0.15600000000000003,0.15600000000000003,0.17,0.084,27.986,18.28,301.4,0.0,0.0,0.0
synthetic_telemetry,SYN_000008,0.8,PRE_LAUNCH,0.58,524.0,19.200000000000003,7.68,60.0,2800.0,4.1968000000000005,3.4968,0.164,0.164,0.18000000000000002,0.096,27.983999999999998,18.32,301.6,0.0,0.0,0.0
synthetic_telemetry,SYN_000009,0.9,PRE_LAUNCH,0.64,552.0,21.6,8.64,67.5,3150.0,4.1964,3.4964,0.17200000000000001,0.17200000000000001,0.19,0.108,27.982,18.36,301.8,0.0,0.0,0.0
synthetic_telemetry,SYN_000010,1.0,PRE_LAUNCH,0.7,580.0,24.0,9.6,75.0,3500.0,4.196,3.496,0.18,0.18,0.2,0.12,27.98,18.4,302.0,0.0,0.0,0.0
synthetic_telemetry,SYN_000011,1.1,PRE_LAUNCH,0.76,608.0,26.400000000000002,10.56,82.5,3850.0000000000005,4.1956,3.4956,0.188,0.188,0.21000000000000002,0.132,27.977999999999998,18.44,302.2,0.0,0.0,0.0
synthetic_telemetry,SYN_000012,1.2000000000000002,PRE_LAUNCH,0.8200000000000001,636.0,28.800000000000004,11.520000000000001,90.00000000000001,4200.000000000001,4.1952,3.4952,0.196,0.196,0.22000000000000003,0.14400000000000002,27.976,18.48,302.4,0.0,0.0,0.0
synthetic_telemetry,SYN_000013,1.3,PRE_LAUNCH,0.88,664.0,31.200000000000003,12.48,97.5,4550.0,4.1948,3.4948,0.20400000000000001,0.20400000000000001,0.23,0.156,27.974,18.52,302.6,0.0,0.0,0.0
synthetic_telemetry,SYN_000014,1.4000000000000001,PRE_LAUNCH,0.9400000000000001,692.0,33.6,13.440000000000001,105.00000000000001,4900.000000000001,4.1944,3.4944,0.21200000000000002,0.21200000000000002,0.24000000000000002,0.168,27.972,18.56,302.8,0.0,0.0,0.0
synthetic_telemetry,SYN_000015,1.5,PRE_LAUNCH,0.9999999999999999,720.0,36.0,14.399999999999999,112.5,5250.0,4.194,3.4939999999999998,0.22,0.22,0.25,0.18,27.97,18.6,303.0,0.0,0.0,0.0
synthetic_telemetry,SYN_000016,1.6,PRE_LAUNCH,1.06,748.0,38.400000000000006,15.36,120.0,5600.0,4.1936,3.4936,0.228,0.228,0.26,0.192,27.968,18.64,303.2,0.0,0.0,0.0
synthetic_telemetry,SYN_000017,1.7000000000000002,PRE_LAUNCH,1.12,776.0,40.800000000000004,16.32,127.50000000000001,5950.000000000001,4.1932,3.4932,0.23600000000000002,0.23600000000000002,0.27,0.20400000000000001,27.966,18.68,303.4,0.0,0.0,0.0
synthetic_telemetry,SYN_000018,1.8,PRE_LAUNCH,1.1800000000000002,804.0,43.2,17.28,135.0,6300.0,4.1928,3.4928,0.24400000000000002,0.24400000000000002,0.28,0.216,27.964,18.72,303.6,0.0,0.0,0.0
synthetic_telemetry,SYN_000019,1.9000000000000001,PRE_LAUNCH,1.2400000000000002,832.0,45.6,18.240000000000002,142.5,6650.000000000001,4.1924,3.4924,0.252,0.252,0.29000000000000004,0.228,27.962,18.76,303.8,0.0,0.0,0.0
synthetic_telemetry,SYN_000020,2.0,PRE_LAUNCH,1.3,860.0,48.0,19.2,150.0,7000.0,4.192,3.492,0.26,0.26,0.30000000000000004,0.24,27.96,18.8,304.0,0.0,0.0,0.0
synthetic_telemetry,SYN_000021,2.1,PRE_LAUNCH,1.36,888.0,50.400000000000006,20.16,157.5,7350.0,4.1916,3.4916,0.268,0.268,0.31000000000000005,0.252,27.958,18.84,304.2,0.0,0.0,0.0
synthetic_telemetry,SYN_000022,2.2,PRE_LAUNCH,1.4200000000000002,916.0,52.800000000000004,21.12,165.0,7700.000000000001,4.1912,3.4912,0.276,0.276,0.32000000000000006,0.264,27.956,18.88,304.4,0.0,0.0,0.0
synthetic_telemetry,SYN_000023,2.3000000000000003,PRE_LAUNCH,1.4800000000000002,944.0000000000001,55.2,22.080000000000002,172.50000000000003,8050.000000000001,4.1908,3.4908,0.28400000000000003,0.28400000000000003,0.33000000000000007,0.276,27.954,18.92,304.6,0.0,0.0,0.0
synthetic_telemetry,SYN_000024,2.4000000000000004,PRE_LAUNCH,1.5400000000000003,972.0000000000001,57.60000000000001,23.040000000000003,180.00000000000003,8400.000000000002,4.1904,3.4904,0.29200000000000004,0.29200000000000004,0.3400000000000001,0.28800000000000003,27.951999999999998,18.96,304.8,0.0,0.0,0.0
synthetic_telemetry,SYN_000025,2.5,PRE_LAUNCH,1.6,1000.0,60.0,24.0,187.5,8750.0,4.1899999999999995,3.49,0.30000000000000004,0.30000000000000004,0.35,0.3,27.95,19.0,305.0,0.0,0.0,0.0
synthetic_telemetry,SYN_000026,2.6,PRE_LAUNCH,1.6600000000000001,1028.0,62.400000000000006,24.96,195.0,9100.0,4.1895999999999995,3.4896,0.30800000000000005,0.30800000000000005,0.36,0.312,27.948,19.04,305.2,0.0,0.0,0.0
synthetic_telemetry,SYN_000027,2.7,PRE_LAUNCH,1.7200000000000002,1056.0,64.80000000000001,25.92,202.5,9450.0,4.1892,3.4892,0.31600000000000006,0.31600000000000006,0.37,0.324,27.945999999999998,19.08,305.4,0.0,0.0,0.0
