timestamp,P_chamber,T_chamber,m_ox,m_fuel,F_thrust,N_pump,P_tank_lox,P_tank_fuel,vib_x,vib_y,vib_z,acc_axial,v_batt,i_bus,T_skin,rate_roll,rate_pitch,rate_yaw
0.0,0.1,300.0,0.0,0.0,0.0,0.0,4.2,3.5,0.1,0.1,0.1,0.0,28.0,18.0,300.0,0.0,0.0,0.0
5.0,3.1,1700.0,120.0,48.0,375.0,17500.0,4.18,3.48,0.5,0.5,0.6,0.6,27.9,20.0,310.0,0.0,0.0,0.0
10.0,6.2,3200.0,240.0,96.0,750.0,35000.0,4.16,3.46,0.8,0.7,0.9,1.2,27.8,22.0,325.0,0.0,0.0,0.0
20.0,6.21,3195.0,240.1,96.0,750.5,35010.0,4.12,3.43,1.2,1.1,1.3,1.4,27.7,22.1,350.0,0.01,-0.01,0.0
30.0,6.19,3205.0,239.8,95.9,749.2,34980.0,4.08,3.40,1.5,1.4,1.6,1.6,27.6,22.0,380.0,0.02,0.0,0.01
40.0,6.22,3190.0,240.2,96.1,751.0,35020.0,4.04,3.37,2.1,2.0,2.3,1.9,27.5,22.2,410.0,-0.01,0.01,0.0
50.0,6.18,3210.0,239.5,95.8,748.8,34950.0,4.00,3.34,3.5,3.2,3.8,2.2,2.4,22.0,440.0,0.0,0.0,-0.01
60.0,6.20,3200.0,240.0,96.0,750.0,35000.0,3.96,3.31,5.2,5.0,5.8,2.6,27.3,22.1,480.0,0.03,0.02,0.01
70.0,6.19,3198.0,239.9,96.0,749.8,34990.0,3.92,3.28,7.8,7.5,8.2,3.1,27.2,22.0,520.0,-0.02,-0.01,0.0
80.0,6.21,3202.0,240.1,96.1,750.2,35010.0,3.88,3.25,8.1,7.9,8.5,3.6,27.1,22.2,550.0,0.01,0.01,0.02
90.0,6.20,3200.0,240.0,96.0,750.0,35000.0,3.84,3.22,4.2,4.0,4.5,4.1,27.0,22.1,510.0,0.0,0.0,0.0
100.0,6.18,3205.0,239.7,95.9,749.0,34970.0,3.80,3.19,1.8,1.7,2.0,4.7,26.9,22.0,470.0,-0.01,0.0,0.01
110.0,6.22,3195.0,240.3,96.1,751.2,35030.0,3.76,3.16,1.2,1.1,1.3,5.2,26.8,22.2,440.0,0.01,-0.01,0.0
120.0,,3200.0,240.0,96.0,750.0,35000.0,3.72,3.13,0.8,0.7,0.9,5.8,26.7,22.1,410.0,0.0,0.0,0.0
130.0,6.19,3210.0,239.8,95.8,748.5,34960.0,3.68,3.10,0.6,0.5,0.7,6.4,26.6,22.0,390.0,0.02,0.01,-0.01
140.0,6.21,3190.0,240.2,96.2,751.5,35040.0,3.64,3.07,0.5,0.5,0.6,7.1,26.5,22.2,370.0,-0.01,0.0,0.01
150.0,0.0,300.0,0.0,0.0,0.0,0.0,3.60,3.04,12.5,11.8,13.2,0.0,26.4,18.0,350.0,0.05,0.04,0.03
160.0,4.65,2400.0,180.0,72.0,562.5,26250.0,3.55,3.00,0.4,0.4,0.5,2.1,26.3,21.0,330.0,0.0,0.0,0.0
170.0,4.65,2400.0,180.0,72.0,562.5,26250.0,3.50,2.96,0.3,0.3,0.4,2.5,26.2,21.0,320.0,0.0,0.0,0.0
180.0,4.65,2400.0,180.0,72.0,562.5,26250.0,3.45,2.92,0.3,0.3,0.4,2.8,27.4,21.0,310.0,0.0,0.0,0.0
